Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.104917, 707, 0.012787, 707, 0.013357, 707, 0.016215, 707, 0.020674
500, 2506, 2.331115, 2506, 0.366979, 2506, 0.400409, 2506, 0.489380, 2506, 0.878682
1000, 3016, 7.129108, 3016, 1.519494, 3016, 1.533544, 3016, 1.821627, 3016, 2.381226
1500, 3212, 18.380061, 3212, 8.428732, 3212, 6.293665, 3212, 6.946956, 3212, 8.540964
2000, 3314, 34.313733, 3314, 18.318562, 3314, 14.428855, 3314, 16.354110, 3314, 17.623901
