Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.104932, 707, 0.012219, 707, 0.012953, 707, 0.016250, 707, 0.020818
500, 2506, 2.329166, 2506, 0.367411, 2506, 0.400594, 2506, 0.489622, 2506, 0.880241
1000, 3016, 7.141470, 3016, 1.527827, 3016, 1.539543, 3016, 1.825283, 3016, 2.387131
1500, 3212, 18.483935, 3212, 8.397533, 3212, 6.296576, 3212, 6.954573, 3212, 8.564248
2000, 3314, 33.804469, 3314, 18.292997, 3314, 14.459956, 3314, 16.400265, 3314, 17.073048
