Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.110146, 707, 0.012053, 707, 0.013029, 707, 0.016299, 707, 0.020812
500, 2506, 2.394632, 2506, 0.370941, 2506, 0.401330, 2506, 0.489797, 2506, 0.877992
1000, 3016, 7.170067, 3016, 1.570421, 3016, 1.538169, 3016, 1.824683, 3016, 2.384089
1500, 3212, 18.406889, 3212, 8.472767, 3212, 6.310800, 3212, 6.916441, 3212, 8.558318
2000, 3314, 33.854173, 3314, 18.242580, 3314, 14.444765, 3314, 16.373411, 3314, 17.474635
