Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.000510, 18, 0.001195, 18, 0.000467, 18, 0.000642
500, 18, 0.013788, 18, 0.004385, 18, 0.003284, 18, 0.032113
1000, 18, 0.055401, 18, 0.015024, 18, 0.009417, 18, 0.017060
1500, 18, 0.116506, 18, 0.056316, 18, 0.038987, 18, 0.042758
2000, 18, 0.218753, 18, 0.109914, 18, 0.083702, 18, 0.096969
