Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.000514, 18, 0.001255, 18, 0.000472, 18, 0.000657
500, 18, 0.013722, 18, 0.005225, 18, 0.003230, 18, 0.023526
1000, 18, 0.055266, 18, 0.017835, 18, 0.010828, 18, 0.011237
1500, 18, 0.117751, 18, 0.051137, 18, 0.038326, 18, 0.042817
2000, 18, 0.219070, 18, 0.112623, 18, 0.082326, 18, 0.096508
