Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.018771, 707, 0.013521, 707, 0.013825, 707, 0.089769
500, 2506, 1.784036, 2506, 0.569340, 2506, 0.397385, 2506, 0.390358
1000, 3016, 8.556235, 3016, 2.468746, 3016, 1.535091, 3016, 1.351475
1500, 3212, 20.630222, 3212, 8.600693, 3212, 6.260697, 3212, 6.887919
2000, 3314, 37.894599, 3314, 19.827769, 3314, 14.545546, 3314, 16.873014
