Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.110050, 707, 0.012036, 707, 0.013062, 707, 0.016291, 707, 0.020725
500, 2506, 2.369771, 2506, 0.367491, 2506, 0.401135, 2506, 0.489818, 2506, 0.879193
1000, 3016, 7.218339, 3016, 1.548504, 3016, 1.537995, 3016, 1.827655, 3016, 2.390945
1500, 3212, 18.526557, 3212, 8.445287, 3212, 6.295960, 3212, 6.918839, 3212, 8.533705
2000, 3314, 33.943793, 3314, 18.431287, 3314, 14.477764, 3314, 16.381190, 3314, 17.043049
