Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.115310, 707, 0.012022, 707, 0.013016, 707, 0.016288, 707, 0.020712
500, 2506, 2.347295, 2506, 0.366773, 2506, 0.401170, 2506, 0.490093, 2506, 0.878959
1000, 3016, 7.065268, 3016, 1.505566, 3016, 1.536719, 3016, 1.822961, 3016, 2.369238
1500, 3212, 18.559282, 3212, 8.350637, 3212, 6.307314, 3212, 6.976961, 3212, 8.518523
2000, 3314, 33.831615, 3314, 18.547940, 3314, 14.405700, 3314, 16.382845, 3314, 17.357356
