Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.107286, 707, 0.012041, 707, 0.013031, 707, 0.016284, 707, 0.020899
500, 2506, 2.363076, 2506, 0.367297, 2506, 0.400192, 2506, 0.489490, 2506, 0.878846
1000, 3016, 7.113177, 3016, 1.565500, 3016, 1.539462, 3016, 1.826272, 3016, 2.378359
1500, 3212, 18.533905, 3212, 8.411528, 3212, 6.336308, 3212, 7.126415, 3212, 8.527106
2000, 3314, 33.775017, 3314, 18.337172, 3314, 14.474787, 3314, 16.366446, 3314, 17.540775
