Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019221, 707, 0.012563, 707, 0.014518, 707, 0.045250
500, 2506, 1.781383, 2506, 0.561994, 2506, 0.399245, 2506, 0.391722
1000, 3016, 8.563645, 3016, 2.457478, 3016, 1.531961, 3016, 1.367688
1500, 3212, 20.632309, 3212, 8.535518, 3212, 6.277557, 3212, 6.901668
2000, 3314, 37.890285, 3314, 19.958592, 3314, 14.630767, 3314, 16.844550
