Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.018983, 707, 0.012903, 707, 0.014594, 707, 0.047397
500, 2506, 1.779859, 2506, 0.562630, 2506, 0.398917, 2506, 0.392207
1000, 3016, 8.554911, 3016, 2.441306, 3016, 1.533175, 3016, 1.369970
1500, 3212, 20.610195, 3212, 8.641805, 3212, 6.253260, 3212, 6.962887
2000, 3314, 37.880967, 3314, 18.274947, 3314, 14.537127, 3314, 16.815705
