Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.107782, 707, 0.012064, 707, 0.012977, 707, 0.016277, 707, 0.020722
500, 2506, 2.355931, 2506, 0.366781, 2506, 0.401017, 2506, 0.489820, 2506, 0.878613
1000, 3016, 7.120665, 3016, 1.523231, 3016, 1.534477, 3016, 1.822530, 3016, 2.388163
1500, 3212, 18.374064, 3212, 8.368168, 3212, 6.326803, 3212, 6.945556, 3212, 8.493912
2000, 3314, 34.363274, 3314, 18.337035, 3314, 14.431510, 3314, 16.367449, 3314, 17.084162
