Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019137, 707, 0.013321, 707, 0.014476, 707, 0.040007
500, 2506, 1.786678, 2506, 0.563812, 2506, 0.399704, 2506, 0.386198
1000, 3016, 8.580470, 3016, 2.469223, 3016, 1.532612, 3016, 1.358668
1500, 3212, 20.660343, 3212, 8.572121, 3212, 6.261023, 3212, 6.947522
2000, 3314, 37.917808, 3314, 18.329085, 3314, 14.657099, 3314, 16.947451
