Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.114605, 707, 0.012085, 707, 0.013075, 707, 0.016286, 707, 0.020730
500, 2506, 2.351757, 2506, 0.367645, 2506, 0.401903, 2506, 0.488550, 2506, 0.877591
1000, 3016, 7.145120, 3016, 1.543714, 3016, 1.535039, 3016, 1.825192, 3016, 2.381452
1500, 3212, 18.350483, 3212, 8.385371, 3212, 6.326763, 3212, 6.949030, 3212, 8.588413
2000, 3314, 33.649307, 3314, 18.426170, 3314, 14.445834, 3314, 16.616699, 3314, 17.391578
