Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.000513, 18, 0.001006, 18, 0.000441, 18, 0.000655
500, 18, 0.013801, 18, 0.005063, 18, 0.003307, 18, 0.013464
1000, 18, 0.055479, 18, 0.015521, 18, 0.010934, 18, 0.009757
1500, 18, 0.116469, 18, 0.051768, 18, 0.039083, 18, 0.042389
2000, 18, 0.217526, 18, 0.111708, 18, 0.083111, 18, 0.095187
