Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.000494, 18, 0.000916, 18, 0.000471, 18, 0.000639
500, 18, 0.013710, 18, 0.004769, 18, 0.003273, 18, 0.033518
1000, 18, 0.055728, 18, 0.015473, 18, 0.011114, 18, 0.012922
1500, 18, 0.116717, 18, 0.051359, 18, 0.039073, 18, 0.043180
2000, 18, 0.218667, 18, 0.111183, 18, 0.083146, 18, 0.097333
