Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019257, 707, 0.013996, 707, 0.014559, 707, 0.065359
500, 2506, 1.780648, 2506, 0.568340, 2506, 0.395189, 2506, 0.380304
1000, 3016, 8.557547, 3016, 2.462048, 3016, 1.530129, 3016, 1.341584
1500, 3212, 20.604988, 3212, 8.545356, 3212, 6.249767, 3212, 6.918496
2000, 3314, 37.873098, 3314, 19.755970, 3314, 14.616795, 3314, 16.882626
