Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019064, 707, 0.013079, 707, 0.014481, 707, 0.038789
500, 2506, 1.785049, 2506, 0.560486, 2506, 0.398483, 2506, 0.392894
1000, 3016, 8.557277, 3016, 2.450050, 3016, 1.536052, 3016, 1.359239
1500, 3212, 20.620332, 3212, 8.553879, 3212, 6.272486, 3212, 6.917864
2000, 3314, 37.873349, 3314, 18.307745, 3314, 14.584371, 3314, 16.941633
