Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.000513, 18, 0.000458, 18, 0.000465, 18, 0.000651
500, 18, 0.013639, 18, 0.004314, 18, 0.003243, 18, 0.032997
1000, 18, 0.055111, 18, 0.015194, 18, 0.010548, 18, 0.013426
1500, 18, 0.116538, 18, 0.050466, 18, 0.038806, 18, 0.044981
2000, 18, 0.218864, 18, 0.117382, 18, 0.092052, 18, 0.095750
