Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019037, 707, 0.013126, 707, 0.014349, 707, 0.082693
500, 2506, 1.789893, 2506, 0.564049, 2506, 0.396037, 2506, 0.384549
1000, 3016, 8.566675, 3016, 2.454632, 3016, 1.529963, 3016, 1.361566
1500, 3212, 20.641866, 3212, 8.603183, 3212, 6.285417, 3212, 6.900535
2000, 3314, 37.868511, 3314, 18.344764, 3314, 14.627589, 3314, 17.035149
