Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019525, 707, 0.013159, 707, 0.014752, 707, 0.030184
500, 2506, 1.808374, 2506, 0.568515, 2506, 0.405738, 2506, 0.389581
1000, 3016, 8.588325, 3016, 2.460679, 3016, 1.538184, 3016, 1.365951
1500, 3212, 20.620652, 3212, 8.677100, 3212, 6.304345, 3212, 6.928836
2000, 3314, 37.870167, 3314, 18.476973, 3314, 14.727510, 3314, 16.885519
