Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.019100, 707, 0.016189, 707, 0.015988, 707, 0.018369
200, 1485, 0.164917, 1485, 0.095139, 1485, 0.097686, 1485, 0.110733
400, 2287, 1.030275, 2287, 0.447401, 2287, 0.346814, 2287, 0.387923
600, 2664, 2.721777, 2664, 0.997920, 2664, 0.707600, 2664, 0.704456
800, 2878, 5.236513, 2878, 1.764393, 2878, 1.234191, 2878, 1.102046
1000, 3016, 8.599293, 3016, 2.827990, 3016, 1.812755, 3016, 1.508245
1500, 3212, 20.689817, 3212, 10.418588, 3212, 7.067014, 3212, 8.232340
2000, 3314, 37.999546, 3314, 18.515796, 3314, 16.430117, 3314, 17.854517
