Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.103504, 707, 0.012201, 707, 0.012862, 707, 0.016271, 707, 0.020705
500, 2506, 2.353085, 2506, 0.366669, 2506, 0.400470, 2506, 0.488603, 2506, 0.876237
1000, 3016, 7.195506, 3016, 1.544750, 3016, 1.537239, 3016, 1.826283, 3016, 2.388661
1500, 3212, 18.339236, 3212, 8.464500, 3212, 6.305916, 3212, 6.938121, 3212, 8.560302
2000, 3314, 33.675009, 3314, 18.391155, 3314, 14.546267, 3314, 16.871238, 3314, 17.132321
