Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001930, 18, 0.006838, 18, 0.001100, 18, 0.001479
500, 18, 0.049398, 18, 0.018310, 18, 0.010878, 18, 0.024412
1000, 18, 0.152112, 18, 0.052937, 18, 0.030715, 18, 0.028697
1500, 18, 0.342409, 18, 0.118355, 18, 0.082994, 18, 0.205961
2000, 18, 0.592728, 18, 0.200743, 18, 0.131393, 18, 0.122597
