Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001537, 18, 0.001517, 18, 0.001110, 18, 0.001537
500, 18, 0.038730, 18, 0.014645, 18, 0.011002, 18, 0.012886
1000, 18, 0.154200, 18, 0.053079, 18, 0.030827, 18, 0.031110
1500, 18, 0.333037, 18, 0.120341, 18, 0.095237, 18, 0.176887
2000, 18, 0.595131, 18, 0.201889, 18, 0.132404, 18, 0.127313
