Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.059692, 707, 0.045062, 707, 0.045847, 707, 0.070928
500, 2506, 5.075244, 2506, 2.010746, 2506, 1.320439, 2506, 1.269651
1000, 3016, 24.088428, 3016, 8.671287, 3016, 5.232615, 3016, 4.866938
1500, 3212, 57.501832, 3212, 20.188908, 3212, 12.088551, 3212, 11.554084
2000, 3314, 105.270766, 3314, 36.682257, 3314, 23.786875, 3314, 22.505043
