Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001914, 18, 0.007729, 18, 0.001450, 18, 0.049356
500, 18, 0.039022, 18, 0.014736, 18, 0.011160, 18, 0.014058
1000, 18, 0.150723, 18, 0.052141, 18, 0.030786, 18, 0.031366
1500, 18, 0.356311, 18, 0.119073, 18, 0.072410, 18, 0.070700
2000, 18, 0.593294, 18, 0.201877, 18, 0.131865, 18, 0.123958
