Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.059698, 707, 0.048909, 707, 0.045734, 707, 0.073924
500, 2506, 5.017595, 2506, 1.978385, 2506, 1.295817, 2506, 1.259163
1000, 3016, 23.994528, 3016, 8.635366, 3016, 5.180322, 3016, 4.843798
1500, 3212, 57.281570, 3212, 20.440095, 3212, 12.057411, 3212, 11.605780
2000, 3314, 105.003488, 3314, 36.908896, 3314, 23.717602, 3314, 22.566870
