Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.060123, 707, 0.045170, 707, 0.040968, 707, 0.071001
500, 2506, 5.058790, 2506, 1.984015, 2506, 1.296879, 2506, 1.263123
1000, 3016, 24.140169, 3016, 8.640839, 3016, 5.154088, 3016, 5.048154
1500, 3212, 57.608051, 3212, 20.457333, 3212, 11.895641, 3212, 11.509559
2000, 3314, 105.586475, 3314, 37.068085, 3314, 23.666924, 3314, 22.435824
