Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.118999, 707, 0.029697, 707, 0.039930, 707, 0.051317, 707, 0.063065
500, 2506, 3.838331, 2506, 1.246343, 2506, 1.284415, 2506, 1.556182, 2506, 2.715087
1000, 3016, 14.287663, 3016, 5.276884, 3016, 5.324142, 3016, 5.858351, 3016, 7.164763
1500, 3212, 31.081714, 3212, 12.960602, 3212, 12.315610, 3212, 13.790794, 3212, 16.544635
2000, 3314, 54.081983, 3314, 23.780962, 3314, 23.791039, 3314, 24.341020, 3314, 27.137156
