Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.054218, 707, 0.037261, 707, 0.037790, 707, 0.048486
500, 2506, 4.871873, 2506, 1.947902, 2506, 1.319099, 2506, 1.271181
1000, 3016, 23.659823, 3016, 8.636567, 3016, 5.176473, 3016, 4.994995
1500, 3212, 57.138621, 3212, 20.358657, 3212, 11.929998, 3212, 11.844450
2000, 3314, 105.123195, 3314, 36.735815, 3314, 23.767800, 3314, 23.070904
