Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.058560, 707, 0.053548, 707, 0.051482, 707, 0.064086
200, 1485, 0.480647, 1485, 0.299826, 1485, 0.307073, 1485, 0.386535
400, 2287, 2.931610, 2287, 1.431321, 2287, 1.083874, 2287, 1.338851
600, 2664, 7.688039, 2664, 3.204657, 2664, 2.217174, 2664, 2.509487
800, 2878, 14.694490, 2878, 5.596567, 2878, 3.840848, 2878, 4.163928
1000, 3016, 24.061124, 3016, 8.877356, 3016, 5.723787, 3016, 5.814663
1500, 3212, 57.736241, 3212, 20.792220, 3212, 13.499729, 3212, 14.175676
2000, 3314, 105.864583, 3314, 37.374644, 3314, 24.251772, 3314, 24.277195
