Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001867, 18, 0.006465, 18, 0.001123, 18, 0.001476
500, 18, 0.038598, 18, 0.014814, 18, 0.011100, 18, 0.062200
1000, 18, 0.151996, 18, 0.067386, 18, 0.030895, 18, 0.028908
1500, 18, 0.335392, 18, 0.117430, 18, 0.095329, 18, 0.111292
2000, 18, 0.598247, 18, 0.201739, 18, 0.130795, 18, 0.123067
