Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001554, 18, 0.001585, 18, 0.001135, 18, 0.001535
500, 18, 0.039426, 18, 0.014577, 18, 0.011202, 18, 0.010473
1000, 18, 0.152731, 18, 0.053792, 18, 0.030948, 18, 0.028650
1500, 18, 0.339859, 18, 0.123217, 18, 0.090428, 18, 0.231217
2000, 18, 0.596899, 18, 0.200392, 18, 0.130935, 18, 0.122641
