Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.132067, 707, 0.037874, 707, 0.041711, 707, 0.053019, 707, 0.065121
500, 2506, 4.049547, 2506, 1.293992, 2506, 1.314085, 2506, 1.602405, 2506, 2.744116
1000, 3016, 14.845302, 3016, 5.404540, 3016, 5.356653, 3016, 5.820905, 3016, 7.166443
1500, 3212, 31.546120, 3212, 12.772268, 3212, 12.193441, 3212, 13.620553, 3212, 16.360284
2000, 3314, 54.847907, 3314, 23.894581, 3314, 23.889054, 3314, 24.258997, 3314, 26.956345
