Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.148453, 707, 0.032834, 707, 0.041685, 707, 0.053193, 707, 0.065267
500, 2506, 4.052425, 2506, 1.292666, 2506, 1.308979, 2506, 1.602472, 2506, 2.762267
1000, 3016, 15.349941, 3016, 5.453046, 3016, 5.443655, 3016, 5.922155, 3016, 7.204556
1500, 3212, 31.379157, 3212, 12.822012, 3212, 12.260383, 3212, 13.750020, 3212, 16.669471
2000, 3314, 54.408312, 3314, 23.928337, 3314, 23.949308, 3314, 24.404146, 3314, 27.205438
