Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.002149, 18, 0.007032, 18, 0.001116, 18, 0.003215
500, 18, 0.039844, 18, 0.015291, 18, 0.011672, 18, 0.015874
1000, 18, 0.152927, 18, 0.052310, 18, 0.030913, 18, 0.028932
1500, 18, 0.340318, 18, 0.120296, 18, 0.096806, 18, 0.237119
2000, 18, 0.602303, 18, 0.219001, 18, 0.131657, 18, 0.123179
