Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.140673, 707, 0.032557, 707, 0.046186, 707, 0.060195, 707, 0.064765
500, 2506, 3.969354, 2506, 1.284294, 2506, 1.320970, 2506, 1.602666, 2506, 2.745864
1000, 3016, 14.487917, 3016, 5.386987, 3016, 5.364902, 3016, 5.865674, 3016, 7.219068
1500, 3212, 31.165454, 3212, 12.767994, 3212, 12.201862, 3212, 13.845101, 3212, 16.312482
2000, 3314, 54.036932, 3314, 23.880169, 3314, 24.577063, 3314, 24.235173, 3314, 26.939712
