Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.002134, 18, 0.007280, 18, 0.001179, 18, 0.002134
500, 18, 0.038044, 18, 0.019238, 18, 0.010660, 18, 0.019192
1000, 18, 0.150608, 18, 0.053552, 18, 0.030832, 18, 0.029544
1500, 18, 0.335233, 18, 0.120491, 18, 0.095758, 18, 0.068263
2000, 18, 0.582136, 18, 0.203604, 18, 0.131725, 18, 0.126662
