Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001942, 18, 0.006654, 18, 0.001108, 18, 0.001489
500, 18, 0.038935, 18, 0.014708, 18, 0.011131, 18, 0.071192
1000, 18, 0.150885, 18, 0.062492, 18, 0.030340, 18, 0.029620
1500, 18, 0.335362, 18, 0.136309, 18, 0.099383, 18, 0.117671
2000, 18, 0.587803, 18, 0.201440, 18, 0.131378, 18, 0.123824
