Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.060693, 707, 0.044964, 707, 0.045838, 707, 0.066589
500, 2506, 5.065297, 2506, 1.991577, 2506, 1.300678, 2506, 1.249395
1000, 3016, 24.053115, 3016, 8.666629, 3016, 5.399478, 3016, 5.320791
1500, 3212, 57.351934, 3212, 20.281177, 3212, 11.882529, 3212, 11.512301
2000, 3314, 104.920740, 3314, 36.860378, 3314, 23.573707, 3314, 22.665901
