Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 18, 0.001907, 18, 0.006941, 18, 0.001104, 18, 0.001482
500, 18, 0.038395, 18, 0.016718, 18, 0.011110, 18, 0.058464
1000, 18, 0.152968, 18, 0.052677, 18, 0.030819, 18, 0.028833
1500, 18, 0.339647, 18, 0.128077, 18, 0.083718, 18, 0.067431
2000, 18, 0.589219, 18, 0.204365, 18, 0.131658, 18, 0.125206
