Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.131172, 707, 0.032580, 707, 0.041837, 707, 0.053104, 707, 0.065285
500, 2506, 4.082981, 2506, 1.292614, 2506, 1.307357, 2506, 1.601967, 2506, 2.743760
1000, 3016, 14.720300, 3016, 5.393182, 3016, 5.350650, 3016, 5.806475, 3016, 7.123061
1500, 3212, 31.552156, 3212, 12.799031, 3212, 12.186574, 3212, 13.543254, 3212, 16.258414
2000, 3314, 54.625445, 3314, 23.920987, 3314, 23.904399, 3314, 24.207922, 3314, 26.948380
