Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.137404, 707, 0.031084, 707, 0.041576, 707, 0.053400, 707, 0.065550
500, 2506, 3.951132, 2506, 1.292393, 2506, 1.323294, 2506, 1.598860, 2506, 2.751317
1000, 3016, 14.636903, 3016, 5.388230, 3016, 5.381138, 3016, 6.241968, 3016, 7.154881
1500, 3212, 31.364818, 3212, 12.762042, 3212, 12.219964, 3212, 13.743220, 3212, 16.662958
2000, 3314, 54.227432, 3314, 23.904224, 3314, 23.992458, 3314, 24.281386, 3314, 27.072467
