Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.060313, 707, 0.048924, 707, 0.044789, 707, 0.051025
500, 2506, 5.075244, 2506, 1.991281, 2506, 1.304132, 2506, 1.257572
1000, 3016, 24.153205, 3016, 8.675951, 3016, 5.217283, 3016, 4.883731
1500, 3212, 57.370318, 3212, 20.336264, 3212, 12.078006, 3212, 11.606971
2000, 3314, 105.104769, 3314, 36.963638, 3314, 23.587073, 3314, 22.554592
