Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.069398, 707, 0.050585, 707, 0.045589, 707, 0.075617
500, 2506, 5.033585, 2506, 1.978707, 2506, 1.292778, 2506, 1.243349
1000, 3016, 24.030115, 3016, 8.646279, 3016, 5.181407, 3016, 4.931973
1500, 3212, 57.330080, 3212, 20.542910, 3212, 12.056279, 3212, 11.586527
2000, 3314, 105.015699, 3314, 37.406972, 3314, 23.688025, 3314, 22.643358
