Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.132098, 707, 0.034878, 707, 0.041902, 707, 0.053143, 707, 0.065563
500, 2506, 3.993656, 2506, 1.285382, 2506, 1.306510, 2506, 1.597960, 2506, 2.740848
1000, 3016, 14.930014, 3016, 5.385736, 3016, 5.347445, 3016, 5.812537, 3016, 7.107072
1500, 3212, 31.872108, 3212, 12.778569, 3212, 12.182601, 3212, 13.585516, 3212, 16.415091
2000, 3314, 54.650452, 3314, 23.952907, 3314, 24.072526, 3314, 24.246980, 3314, 26.953248
