Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.133447, 707, 0.034455, 707, 0.041840, 707, 0.053110, 707, 0.065666
500, 2506, 4.017170, 2506, 1.302173, 2506, 1.313072, 2506, 1.596786, 2506, 2.744778
1000, 3016, 14.857859, 3016, 5.407228, 3016, 5.381384, 3016, 5.836499, 3016, 7.114858
1500, 3212, 31.559887, 3212, 12.802416, 3212, 12.201791, 3212, 13.646879, 3212, 16.263141
2000, 3314, 54.436625, 3314, 23.944506, 3314, 23.915585, 3314, 24.260857, 3314, 26.915097
