Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.061161, 707, 0.045514, 707, 0.046273, 707, 0.051040
500, 2506, 5.031222, 2506, 1.979295, 2506, 1.290542, 2506, 1.255897
1000, 3016, 24.070517, 3016, 8.645720, 3016, 5.208461, 3016, 4.921944
1500, 3212, 57.558667, 3212, 20.415053, 3212, 12.064695, 3212, 11.546916
2000, 3314, 105.332441, 3314, 37.387972, 3314, 23.668399, 3314, 22.458892
