Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.059169, 707, 0.045576, 707, 0.044963, 707, 0.050959
500, 2506, 5.031120, 2506, 1.984579, 2506, 1.294197, 2506, 1.272239
1000, 3016, 24.067997, 3016, 8.649290, 3016, 5.181931, 3016, 4.866854
1500, 3212, 57.418657, 3212, 20.301961, 3212, 12.086909, 3212, 11.557981
2000, 3314, 105.123380, 3314, 36.839869, 3314, 23.741085, 3314, 22.939284
