Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.131058, 707, 0.032211, 707, 0.042053, 707, 0.053060, 707, 0.064822
500, 2506, 4.012942, 2506, 1.289288, 2506, 1.313150, 2506, 1.586973, 2506, 2.733154
1000, 3016, 14.755733, 3016, 5.403203, 3016, 5.365402, 3016, 5.878875, 3016, 7.124925
1500, 3212, 31.759623, 3212, 12.826734, 3212, 12.208248, 3212, 13.634881, 3212, 16.128619
2000, 3314, 54.853050, 3314, 23.932473, 3314, 23.809761, 3314, 24.294105, 3314, 26.967538
