Size, k_1, t_1, k_4, t_4, k_8, t_8, k_16, t_16
100, 707, 0.061234, 707, 0.045156, 707, 0.045924, 707, 0.092763
500, 2506, 5.068705, 2506, 1.998863, 2506, 1.308796, 2506, 1.255860
1000, 3016, 24.146127, 3016, 8.659612, 3016, 5.196064, 3016, 4.853833
1500, 3212, 57.765433, 3212, 20.411646, 3212, 12.101420, 3212, 11.487251
2000, 3314, 105.794844, 3314, 36.788318, 3314, 23.542971, 3314, 22.525814
