Size, k_1, t_1, k_16, t_16, k_32, t_32, k_64, t_64, k_128, t_128
100, 707, 0.132924, 707, 0.032486, 707, 0.042667, 707, 0.053459, 707, 0.065387
500, 2506, 3.999865, 2506, 1.290159, 2506, 1.314234, 2506, 1.606739, 2506, 2.746399
1000, 3016, 14.883292, 3016, 5.430915, 3016, 5.376315, 3016, 5.846798, 3016, 7.115491
1500, 3212, 31.497328, 3212, 12.789752, 3212, 12.259422, 3212, 13.597422, 3212, 16.294387
2000, 3314, 54.632473, 3314, 23.909102, 3314, 23.871926, 3314, 24.261202, 3314, 26.951410
